"PKey","Name","Desc","Enabled","Immediate","RepName","WeekDays","MonthDays","TimeFrom","TimeTo","TimePeriod","TrgFormat","TrgType","Switches","LastPrint","LastError","TimZone","TimDst"
"1","PMPA Generation Report [Email]","Sends email with past 2 years of nuclear generation","1","0","PMPA Nuclear Entitlement","0000000","10000000000000000000000000000000","0","0","0","CSV","2","/DESTNAME='EMAIL TO ENGINEERING' /FILENAME='PMPA_NUCLEAR_ENTITLEMENT_.CSV' /FILETIMESTAMP=1","#2024-05-01 00:00:13.425#","Done OK","","0"
"2","PMPA Generation Report [File]","Creates file on SCADA dir with past 2 years of nuclear generation","0","0","PMPA Nuclear Entitlement","0000000","00000000000000000000000000000000","546","0","0","CSV","1","T=HZ;62000000750000002D8D310A80300C45AFE2E656DBC1B1436822149A5ADBA80801EF7F0B2BBABC076FF87F426A9281C98F4B4C340ED3AB2FA83A6B9C9B4DA7D5160041CFB5263C229DDA04324245DDEAA5850BDC790F89A0DE94254A22EE36A11DFFA644EE57C0C5DB07","#2022-10-24 09:06:05.335#","ERROR: SHELL EXIT CODE 101000 (0x18A88)","","0"
