"PKey","Name","Desc"
"1","Status Change","Status Change"
"2","Analog Change","Analog Change"
"3","Control","Control"
"4","Set Point","Set Point"
"5","SOE Data Lost","Timestamped Event lost reported"
"6","SOE Status Change","Status Change with timestamp"
"7","SOE Analog Change","Analog Change with timestamp"
"8","SOE Code","SOE Code"
