"PKey","Name","ProjectId","ProjectMap","SetId","Pid","AddrSlct","Address","Alias","AliasType","P1","P2","P3","P4","P5","P6","P7","P8","Type","Format","IsScale","ScaleOffst","ScaleFact","IsDeadband","Deadband","IsModify","MsInput","MsOutput","MsAutoSubs","MsUnit"
"27","f3aaf899-69f5-495c-81f2-a60ef298ca7e","0","0","UNION_DATASET","UNI06,A_A:A","0","19","","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"28","78c690f0-3265-40e8-a1da-02677b69fe24","0","0","UNION_DATASET","UNI06,A_B:A","0","20","","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"29","34722662-55c3-4257-8950-d57bf913ad62","0","0","UNION_DATASET","UNI06,A_C:A","0","21","","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"30","13efed9b-5302-45a5-bdc6-043f0743b079","0","0","UNION_DATASET","UNI06,A_N:A","0","22","","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"31","d4179dce-1c14-4134-b012-3a79a0917f22","0","0","UNION_DATASET","UNI06,PF:A","0","18","","0","0","1","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0"
"32","55beebdf-0fd3-4109-a172-6a793bd1f054","0","0","SANTEE_ICCP_PMPADATA","NEW06A,KVAR_COMP:A","1","0","PMPA_NEW06A_KVAR","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"33","ff4d3a41-793c-4ce3-bc46-be7eacac36d5","0","0","SANTEE_ICCP_PMPADATA","NEW06B,KVAR_COMP:A","1","0","PMPA_NEW06B_KVAR","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"34","a1a25a3f-4448-4a58-85ed-9b1187d2648e","0","0","SANTEE_ICCP_PMPADATA","NEW06A,KW_COMP:A","1","0","PMPA_NEW06A_KW","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"35","7239327b-d7ec-4fde-9576-1d3b503420ea","0","0","SANTEE_ICCP_PMPADATA","NEW06B,KW_COMP:A","1","0","PMPA_NEW06B_KW","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"36","5530a653-f8e1-4aa3-b7b3-96d420119eba","0","0","DUKE_ICCP_PMPA_DATA","ROC07B,KW_COMP:A","1","0","PMPA_ROC07B_KW","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"37","a3029f59-66f8-484d-8fa2-d9c11b3b9670","0","0","DUKE_ICCP_PMPA_DATA","ROC07B,KVAR_COMP:A","1","0","PMPA_ROC07B_KVAR","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"38","8f6e8eb8-3120-4ab5-bae8-1bd461e2c71b","0","0","ROCKHILL_DATA","ROC07B,KW:A","0","18","","0","0","1","0","0","0","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0"
"39","a0c9f584-e146-4002-af85-b067b77d8f3a","0","0","ROCKHILL_DATA","ROC07B,KVAR:A","0","19","","0","0","1","0","0","0","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0"
"40","f4edae03-3220-45a5-a754-cfc33f2dc8ac","0","0","SANTEE_ICCP_PMPADATA","ROC07B,KVAR_COMP:A","1","0","PMPA_ROC07B_KVAR","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"41","c2d222e1-39f4-4fad-be6c-eba7ff2e4017","0","0","SANTEE_ICCP_PMPADATA","ROC07B,KW_COMP:A","1","0","PMPA_ROC07B_KW","1","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0"
"42","f424bcf9-18e4-43ba-9c14-7c7977689522","0","0","GREER_DATA","GRE07A,KW:A","0","21","","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0"
"43","15315d53-cce6-4b4a-970e-d10fd1582d9d","0","0","GREER_DATA","GRE07A,KVAR:A","0","22","","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0"
"44","04caec4d-6c29-47e1-bf6e-9fe30490a3c1","0","0","GREER_DATA","GRE07B,KW:A","0","23","","0","0","1","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0"
