"PKey","Name","ProjectId","FunctionId","TemplateId","IsTemplate","P1Type","P1Const","P1Pid","P2Type","P2Const","P2Pid","P3Type","P3Const","P3Pid","P4Type","P4Const","P4Pid","P5Type","P5Const","P5Pid","P6Type","P6Const","P6Pid","P7Type","P7Const","P7Pid","P8Type","P8Const","P8Pid"
"1380","e0541cbd-8264-4643-a792-12d8b163561d","0","34","","0","0","0","GRE03B,KVAR_COMP:A","0","0","GRE03B,KVAR_COMP_STATUS:S","0","0","GRE03B,PRI_KVAR_COMP:A","0","0","GRE03B,CHK_KVAR_COMP:A","0","0","","0","0","","0","0","","0","0",""
"1381","0b79decd-3491-4450-8aac-bbf00e16e340","0","34","","0","0","0","GRE07A,KW_B:A","0","0","GRE07A,KW_B_STATUS:S","0","0","GRE07A,PRI_KW_B:A","0","0","GRE07A,CHK_KW_B:A","0","0","","0","0","","0","0","","0","0",""
"1382","2c189055-0109-4efb-9c31-0c864bce6249","0","4","","0","0","0","ROC04,PRI_PERCENT_VALID:A","0","0","ROC04,PRI_TOTAL_MSG_RCV:A","0","0","ROC04,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0","","0","0","","0","0",""
"1383","25d8a139-5468-4e89-97b9-115f67f15a8f","0","11","","0","0","0","ROC04,CHK_MESSAGES_BAD:A","0","0","ROC04,CHK_MESSAGES_GOOD:A","0","0","ROC04,CHK_TIMEOUTS:A","0","0","ROC04,CHK_TOTAL_MSG_RCV:A","0","0","ROC04,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1384","dc29fbe5-3e7b-4ed4-a2ae-4cbaeafdbc50","0","4","","0","0","0","ROC04,CHK_PERCENT_VALID:A","0","0","ROC04,CHK_TOTAL_MSG_RCV:A","0","0","ROC04,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0","","0","0","","0","0",""
"1385","2da381de-531d-4926-9b7e-1e06a33127b1","0","11","","0","0","0","ROC05,PRI_MESSAGES_BAD:A","0","0","ROC05,PRI_MESSAGES_GOOD:A","0","0","ROC05,PRI_TIMEOUTS:A","0","0","ROC05,PRI_TOTAL_MSG_RCV:A","0","0","ROC05,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1386","8878d6b5-b210-48bb-9537-0466e71a1bef","0","4","","0","0","0","ROC05,PRI_PERCENT_VALID:A","0","0","ROC05,PRI_TOTAL_MSG_RCV:A","0","0","ROC05,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0","","0","0","","0","0",""
"1387","33521537-5408-4ef4-8674-f65fd34458b0","0","11","","0","0","0","ROC05,CHK_MESSAGES_BAD:A","0","0","ROC05,CHK_MESSAGES_GOOD:A","0","0","ROC05,CHK_TIMEOUTS:A","0","0","ROC05,CHK_TOTAL_MSG_RCV:A","0","0","ROC05,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1388","db8f0237-cf07-4718-9359-252900d07358","0","4","","0","0","0","ROC05,CHK_PERCENT_VALID:A","0","0","ROC05,CHK_TOTAL_MSG_RCV:A","0","0","ROC05,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0","","0","0","","0","0",""
"1389","2132f3a2-99b4-477c-9475-f5d10da844ad","0","34","","0","0","0","EAS04A,PF_B:A","0","0","EAS04A,PF_B_STATUS:S","0","0","EAS04A,PRI_PF_B:A","0","0","EAS04A,CHK_PF_B:A","0","0","","0","0","","0","0","","0","0",""
