"PKEY","NAME","DESC","PROJECTID","PROJECTMAP","ERROR","COLLECTING","ALLOCATED","LOADSURVEY","LEADSAMPNG","CALCINPRO","HASQULIFRS","TOTSAMPLES","SAMPLECNT","OLSTSAMPID","NWSTSAMPID","CURRSAMPID","OLSTSAMPTM","NWSTSAMPTM","SMPINTTYPE","SMPDURAT","SMPINTERV","SMPOBSERV","SMPSTART","LASTSTIME","CNDCOLLECT","CNDFUNCID","CNDOPTYPE1","CNDOPPID1","CNDOPCNST1","CNDOPTYPE2","CNDOPPID2","CNDOPCNST2","CNDWRKVAL","CNDWRKTIM","DERIVEDSET","DERIVEDID","TIMCHGPTS","TIMSETVAL","MAXPOINTS","POINTLIST","REPLICATE"
"20","NUCLEAR_GEN_60MIN","Catawba, McGuire, and Entitlements integrated over 1 Hour","0","0","0","1","1","0","0","0","1","24000","23999","21221","21219","21220","#2021-09-04 14:00:00.000#","#2024-05-31 12:00:00.000#","0","86400000","3600","15","#2005-12-08 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","1","NUCLEAR_GEN_15SEC","#2021-02-23 17:40:43.414#","","10","T=HZ;6D000000200100007309F576D571760C710C7772348C770FF20F0EB6725436E5E572419170F50BF10CF171F505D298D246B8F419E1D0E7EBEC1EEA19E48A691F5C02AF3E4CFBE01238DCE9EB8A2C13EF1B0E910C8E0C56D10971758C0F080D72F6700C760D8E770E0D0A0229F1F00F0D022A320000","1"
"21","ROC12_Pri_vc_Check","","0","0","0","1","1","0","0","0","0","960","959","491","489","490","#2024-04-21 14:00:00.000#","#2024-05-31 12:00:00.000#","0","3456000","3600","15","#2017-07-27 04:00:00.000#","#2024-05-31 12:00:00.000#","0","0","1","","0","1","","0","0","","0","","#2017-07-27 18:56:51.614#","","6","T=HZ;2E000000860000000BF2773634D271F6F08EF70E8F77F6F70DB0725436E0E50A020B0704796213C622043620CC3108BB11D824500401","0"
"22","KGSO","Weather and Load history for DUK (initially same weather data as","0","0","0","1","1","0","0","0","0","120000","119999","9081","9080","9081","","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","","#2018-05-31 15:36:20.509#","6","T=HZ;5D0000009600000065CBBB0E40401046E15EE22928B750EB26E6C766319BBD98A8F6FDDF02A19068CF97A3A0342398294A1916C93CC88ED053D3D5957E8CA15EEC96FE92B07A044A39E08F6A378E1EE087383B9878C4EB298BD05BAFD01AA6434605DCDD4E","0"
"23","SEPA_SCHEDULE_NOT_LEADING_TIME","Hourly SEPA Deliveries from Santee","0","0","0","1","1","0","0","0","1","24000","23999","20900","20898","20899","#2021-09-04 13:19:00.000#","#2024-05-31 11:19:00.000#","0","86400000","3600","3600","#2006-03-14 20:19:00.000#","#2024-05-31 11:19:00.000#","0","0","2","","0","2","","0","0","","0","","#2019-04-17 18:35:34.707#","","1","SANTEE,PMPA_SEPA:A#5","0"
"24","DELIVERY_POINT_STATUS","Status Points for All Delivery Stations","0","0","0","1","1","0","0","0","0","1051200","1051199","817242","817240","817241","#2023-06-01 12:15:53.000#","#2024-05-31 12:14:53.000#","0","31536000","30","30","#2006-08-25 04:00:23.000#","#2024-05-31 12:14:53.000#","0","0","2","","0","2","","0","0","","0","","#2020-06-02 18:14:47.963#","","92","T=HZ;38010000CA0800007595C14EC3400C44EF487C053D72D864B39B96DB260A505115946D5471EAFFFF0544B65444DE5C67DED4716CA7F5BBEE9ECB3084E6F6351F6FF36579A94FE1F1A1DEF5F1FDE39F3E9E8EC89BCE7C2BF816F8A954FC7DD3998F828F82EF8A08FC1A2231A8C42012490492E0B3E033F06FE53534D4831B22413DB8C1099A9BE9C0CF5368F199CC10097C26333811558DA86A445523AA1AB81F6E8884AA81FBB11A49D548AA46523592AA413B65FA963F9505EFC874E6F13DB92112D4831BDBC479BAE20E9ACE3CF5603AF39DE03BE0E7CFB109C09BCE3C7DCB4C471EBF1BA6334F33369DF99E66E6C636B19CF96B6F3AF3F4464D679E3A307DCB5F27FE77309DAF001B7383EFA35707D5D3FAAEDB8247EB8648A885C7335F07B41713DD0BFE20F883D848BA28D3B983AC7ACEAAE7AC7ACEAA679C841B7F123F","0"
"25","DEVICE_SERVER_STATUS","All Device Servers Status (i.e. Duke, SOCO, Greer, etc.)","0","0","0","1","1","0","0","0","0","1051200","1051199","818791","818789","818790","#2023-06-01 12:15:46.000#","#2024-05-31 12:14:46.000#","0","31536000","30","30","#2006-08-25 04:00:45.999#","#2024-05-31 12:14:46.000#","0","0","2","","0","2","","0","0","","0","","#2019-04-22 15:06:26.405#","","9","T=HZ;53000000BD0000000B8E0C56D171777473F3738D8C0F0E0AB30A5636E0E50A068B06B9BA06A18979F8078738A2F19D90F841FECEDE1E9E3E3E68DA5C42BD5DE33D9D9D03D0C4831DFD425CB1CA201B6484241EEAE7E9EF07530B00","1"
"26","WESTMINISTER_COMM_STATS_15MIN","Westminster RTU com stats at 15min intervals","0","0","0","1","1","0","0","0","0","35040","35039","2389","2387","2388","#2023-06-01 12:44:30.000#","#2024-05-31 12:14:30.000#","0","31536000","900","900","#2007-07-27 04:59:30.000#","#2024-05-31 12:14:30.000#","0","0","2","","0","2","","0","0","","0","","#2020-05-07 15:51:35.976#","","14","T=HZ;720000008C0100007DCF3D0E80200C80D1DDC453B83AE8EA56B141E20F84561DB9FF2D8C2EA015D7BE36CD7720356DADC6292C48041A29F430745035657148D3D60A74E815AE1C3697931D6623CED82C68372631B70C73FC482B67364807AFF6149D37D98C87BD332EFCCE4845645CF89571CF7F33928D987102","0"
"27","DELIVERY_VOLTAGE","Voltage Levels From All Deliveries","0","0","0","1","1","0","0","0","0","17544","17543","9058","9056","9057","#2022-05-31 13:15:30.000#","#2024-05-31 11:15:30.000#","0","63158400","3600","3600","#2007-05-16 04:15:30.000#","#2024-05-31 11:15:30.000#","0","0","2","","0","2","","0","0","","0","","#2020-06-02 18:12:45.215#","","46","T=HZ;9E0000006A02000055D1CD0AC2301004E0BBE05378F590343F556F9B128B502A546ADFFF4D648BDDCC1C3F864D661329C5F9EBF72117773E0DD38BD11DA8F269892220A2900A2A21F281519ECE0BA9A0ECE271A9AE13524105CA026591B24859A22C51662D2759DBA28A76E22E9B9AEBD62A2B6C6A790FDE213CC045444264446FD7AE33FC9022226C68ABF05D7AC21D71C3A68996E067E9E9595A0BDD83D6CD422A54FEAF1F","0"
"28","DUKE_MIXED_LOAD","Duke System Load every 15 seconds","0","0","0","1","1","0","0","0","0","691200","691199","563217","563215","563216","#2024-02-01 12:15:30.000#","#2024-05-31 12:15:00.000#","0","10368000","15","15","#2005-12-08 05:00:00.000#","#2024-05-31 12:15:00.000#","0","0","2","","0","2","","0","0","","0","","#2015-11-13 14:49:52.839#","","3","T=HZ;3E000000510000007309F576D5098E0C0E71F58DF7F17774B1725436E0E57201899A19C4FB7AFAC5FBFAFB8578F844C607B83A7A63CA3A870605B9FA85C4FBB806071B82A401","1"
"29","KCLT2","Duplicate of CLT, starting 8/8/2017. Per surv. support for ROC12","0","0","0","1","1","0","0","0","0","120000","59719","1","59719","59720","#2017-08-08 05:00:00.000#","#2024-05-31 12:00:00.000#","0","432000000","3600","3600","#1996-01-01 05:00:00.000#","#2024-05-31 12:00:00.000#","0","0","2","","0","2","","0","0","","0","","#2020-06-09 13:42:17.293#","","6","T=HZ;5C0000009300000065C93B0A80400C05C05EF0145A6EA196764BF244F193251B0D56DEFF16223682ED8C23DA080DB4D8458BEC4C7240FB583565E19F63789269B3FF18D6048DB62BFEE9D3C63901FC563E731D389E323830BFA6426D1766BF48D6F4D00D","0"
