"PKey","Name","Desc","CurYear","LdGthBak1","LdGthBak2","LdGthBak3","LdGthBak4","LdGthBak5","LdGthBak6","LdGthBak7","LdGthBak8","LdGthBak9","LdGthBak10","LoadSetId","LoadPid","TempPid","WindPid","HumidPid","CloudPid","DayPid","FcastWthId","WdEqTempId","HmEqTempId","TempFact","WindFact","HumidFact","CloudFact","LoadFact","SprngStart","SprngMtrId","SummrStart","SummrMtrId","FallStart","FallMtrId","WintrStart","WintrMtrId","FcasMdr1","FcasMdr2","FcasMdr3","FcasMdi1","FcasMdi2","FcasMdi3","FcasMdid1","FcasMdid2","FcasMdid3","TrainingSz","PaddedLen","MinHisLoad","MaxHisLoad"
"26","ROC12","Load Area","2020","0","0","0","0","0","0","0","0","0","0","KCLT2","ROC12,KW_COMP:A","WEATHER,CLT_TEMPERATURE:A","WEATHER,CLT_WINDSPEED:A","WEATHER,CLT_DEWPOINT:A","WEATHER,CLT_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"27","ROC05","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KCLT","ROC05,KW_COMP:A","WEATHER,CLT_TEMPERATURE:A","WEATHER,CLT_WINDSPEED:A","WEATHER,CLT_DEWPOINT:A","WEATHER,CLT_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"28","ROC06","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KCLT","ROC06,KW_COMP:A","WEATHER,CLT_TEMPERATURE:A","WEATHER,CLT_WINDSPEED:A","WEATHER,CLT_DEWPOINT:A","WEATHER,CLT_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"29","UNI01","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","UNI01,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"30","UNI04","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","UNI04,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"31","UNI06","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","UNI06,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"32","WES01","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","WES01,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"33","ROC07","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KCLT","ROC07A,KW_COMP:A","WEATHER,CLT_TEMPERATURE:A","WEATHER,CLT_WINDSPEED:A","WEATHER,CLT_DEWPOINT:A","WEATHER,CLT_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-06-01 00:00:00.000#","0","#2003-09-01 00:00:00.000#","0","#2003-12-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"34","DUKE","Dummy Forecast","2018","0","0","0","0","0","0","0","0","0","0","KGSO","DUKE,SYSTEM_LOAD:A","WEATHER,GSO_TEMPERATURE:A","WEATHER,GSO_WINDSPEED:A","WEATHER,GSO_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","4","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"35","PMPA","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","SYS$,PMPA_MW_COMP_WLOSS:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"36","GRE05A","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GRE05A,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"37","GRE05B","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GRE05B,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","#2003-03-01 00:00:00.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"38","ROC08","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KCLT","ROC08,KW_COMP:A","WEATHER,CLT_TEMPERATURE:A","WEATHER,CLT_WINDSPEED:A","WEATHER,CLT_DEWPOINT:A","WEATHER,CLT_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"39","ROC09","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KCLT","ROC09,KW_COMP:A","WEATHER,CLT_TEMPERATURE:A","WEATHER,CLT_WINDSPEED:A","WEATHER,CLT_DEWPOINT:A","WEATHER,CLT_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"40","GRE07A","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GRE07A,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2010-03-02 02:59:15.000#","0","#2010-03-02 01:59:15.000#","0","#2010-03-02 01:59:15.000#","0","#2010-03-02 02:59:15.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"41","GRE07B","Load Area","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GRE07B,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2010-03-05 21:59:15.000#","0","#2010-06-05 20:59:15.000#","0","#2010-09-05 20:59:15.000#","0","#2010-12-05 21:59:15.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"42","EAS06","Load Area","2023","0","0","0","0","0","0","0","0","0","0","KGSP","EAS06,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","10","#2010-03-05 17:59:15.000#","0","#2010-06-05 16:59:15.000#","0","#2010-09-05 16:59:15.000#","0","#2010-12-05 17:59:15.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"43","GRE07A2","","2018","0","0","0","0","0","0","0","0","0","0","KGSP","GRE07A,KW_COMP:A","WEATHER,GSP_TEMPERATURE:A","WEATHER,GSP_WINDSPEED:A","WEATHER,GSP_DEWPOINT:A","WEATHER,GSP_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","1","0","0","20","10","10","10","50","#2010-03-01 21:59:15.000#","0","#2010-03-01 21:59:15.000#","0","#2010-03-01 21:59:15.000#","0","#2010-03-01 21:59:15.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"44","NEW05B","Load Area","2021","0","0","0","0","0","0","0","0","0","0","KCAE2","NEW05B,KW_COMP:A","WEATHER,CAE_TEMPERATURE:A","WEATHER,CAE_WINDSPEED:A","WEATHER,CAE_DEWPOINT:A","WEATHER,CAE_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","2","0","0","20","10","10","10","50","#2010-03-01 21:59:15.000#","0","#2010-06-01 20:59:15.000#","0","#2010-09-01 20:59:15.000#","0","#2010-12-01 21:59:15.000#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"45","NEW05A","Load Area","2021","0","0","0","0","0","0","0","0","0","0","KCAE2","NEW05A,KW_COMP:A","WEATHER,CAE_TEMPERATURE:A","WEATHER,CAE_WINDSPEED:A","WEATHER,CAE_DEWPOINT:A","WEATHER,CAE_CLOUDCOVER:A","","2","0","0","20","10","10","10","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"46","NEW06A","Load Area","2021","0","0","0","0","0","0","0","0","0","0","KCAE2","NEW06A,KW_COMP:A","WEATHER,CAE_TEMPERATURE:A","WEATHER,CAE_WINDSPEED:A","WEATHER,CAE_DEWPOINT:A","WEATHER,CAE_CLOUDCOVER:A","","2","0","0","20","10","10","10","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"47","NEW06B","Load Area","2021","0","0","0","0","0","0","0","0","0","0","KCAE2","NEW06B,KW_COMP:A","WEATHER,CAE_TEMPERATURE:A","WEATHER,CAE_WINDSPEED:A","WEATHER,CAE_DEWPOINT:A","WEATHER,CAE_CLOUDCOVER:A","","2","0","0","20","10","10","10","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"48","ROC07B","Load Area","2020","0","0","0","0","0","0","0","0","0","0","KCLT","ROC07B,KW_COMP:A","WEATHER,CAE_TEMPERATURE:A","WEATHER,CAE_WINDSPEED:A","WEATHER,CAE_DEWPOINT:A","WEATHER,CAE_CLOUDCOVER:A","SYS$,DAYOFWEEK:A","3","0","0","20","10","10","10","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
"49","MOONBEAM","Moonbeam Estimate","2022","0","0","0","0","0","0","0","0","0","0","KAGS TEST","ABB01,KW_COMP:A","WEATHER,AGS_TEMPERATURE:A","WEATHER,AGS_WINDSPEED:A","WEATHER,AGS_DEWPOINT:A","WEATHER,AGS_CLOUDCOVER:A","","5","0","0","20","10","10","20","50","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.491#","0","#2010-10-05 16:59:15.476#","0","#2010-10-05 16:59:15.476#","0","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","T=HZ;0B000000E803000063601805A360140C770000","0","0","0","0"
