"PKey","Name","Desc","P1Title","P1Attr","P2Title","P2Attr","P3Title","P3Attr","P4Title","P4Attr","P5Title","P5Attr","P6Title","P6Attr","P7Title","P7Attr","P8Title","P8Attr"
"46","Weighted Sum","Weighted Sum","Demand 1","ACI","Weight Demand 1","ACI","Demand 2","ACI","Weight Demand 2","ACI","Demand 3","ACI","Weight Demand 3","ACI","","","",""
"47","System Demand","System Demand","Total Demand","AO","Total Weight","AO","Average Demand","AO","","","Sample Interval","ACI","Moving Av Win","ACI","","","",""
"49","Debug","Debug","Output","AO","Input1","ACI","Input2","ACI","Input3","ACI","Input4","ACI","Input5","ACI","Input6","ACI","",""
"50","VBF","Value Before Fault","Input","AI","Value Before Fault","AO","Threshold","ACI","Filter","ACI","Hold minutes","ACI","Fault Status","SI","","","",""
"51","Random","Random Number","Random Number","AO","Minimum","ACI","Maximum","ACI","","","","","","","","","",""
"52","MinMaxAvg","Period Max/Min/Avg","Source","AIM","Average","AO","Maximum","AO","Max Time","AO","Minimum","AO","Min Time","AO","Interval Min","ACI","",""
"53","Month MinMaxAvg","Monthly Max/Min/Avg","Source","ACIM","Average","AO","Maximum","AO","Max Time","AO","Minimum","AO","Min Time","AO","Reset Tod","ACI","",""
"54","DNP Time","Format time from DNP","Time","TOM","High","ACIM","Middle","ACIM","Low","ACIM","","","","","","","",""
"55","Data Conversion","Convert 2 16 bits","In Low","ACM","In High","ACM","IEEE","AO","Signed 32","AO","Unsigned 32","Ao","Scale Factor","AC","","","",""
"56","CPU Use"," CPU Utilization","CPU%","AO","CPU%/Interval","AO","Seconds","CO","","","","","","","","","",""
"57","Point Updates"," Point Updates","Analog Telem","AO","Analog Non","AO","Status Telem","AO","Status Non","AO","","","","","","","",""
"58","Statistic"," Performance Statistic","Statistic value","AO","Statistic type","C","Reset code","C","","","","","","","","","",""
