"PKey","UserName","IpAddress","Address","CountGood","LastGood","CountBad","LastBad","ConsecBad","ConseBadEx","LgnBlkdAt","FirstBad"
"66","mfrazier","1684343306","10.10.101.100","5","#2021-12-06 20:22:14.425#","1","#2021-11-28 00:54:38.496#","0","0","",""
"67","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:42:31.051#","0","0","",""
"68","******","-43709942","10.10.101.253","0","","1","#2021-12-03 14:53:20.796#","0","0","",""
"69","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:42:31.043#","0","0","",""
"70","kbradley","-2140861942","10.10.101.128","16","#2021-12-10 17:35:01.714#","2","#2021-12-10 15:30:22.752#","0","0","",""
"71","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:42:31.028#","0","0","",""
"72","******","1684370186","10.115.101.100","0","","1","#2024-01-23 19:37:39.334#","0","0","",""
"73","******","1063586314","10.10.101.63","0","","1","#2022-02-23 13:53:59.843#","0","0","",""
"74","******","1684370186","10.115.101.100","0","","1","#2022-06-22 17:23:10.610#","0","0","",""
"75","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:42:31.058#","0","0","",""
"76","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:44:24.891#","0","0","",""
"77","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:44:24.907#","0","0","",""
"78","******","1063586314","10.10.101.63","0","","1","#2022-02-24 12:53:58.102#","0","0","",""
"79","******","-43709942","10.10.101.253","0","","1","#2021-10-12 17:54:46.289#","0","0","",""
"80","wblanton2","-43709942","10.10.101.253","1","#2022-04-07 15:28:45.393#","1","#2022-04-07 15:28:34.031#","0","0","",""
"81","mfrazier","1936001546","10.10.101.115","8","#2022-09-23 15:20:54.810#","1","#2022-02-27 19:19:43.791#","0","0","",""
"82","WBLANTON2","1684343306","10.10.101.100","2","#2022-04-08 19:12:47.268#","3","#2022-04-07 15:24:04.834#","0","0","",""
"83","******","-43709942","10.10.101.253","0","","1","#2022-04-21 18:12:31.405#","0","0","",""
"84","******","-43709942","10.10.101.253","0","","1","#2022-04-22 17:25:52.195#","0","0","",""
"85","wblanton","198144778","10.115.207.11","6","#2022-08-29 19:39:24.918#","3","#2022-05-31 17:26:33.152#","0","0","",""
"86","******","42379456","192.168.134.2","0","","1","#2023-04-24 18:53:15.997#","0","0","",""
"87","wblanton","25536704","192.168.133.1","302","#2022-09-12 17:39:31.363#","4","#2022-09-07 19:35:50.437#","0","0","",""
"88","******","369128202","10.115.0.22","0","","1","#2024-02-07 15:41:18.343#","0","0","",""
"89","******","1684370186","10.115.101.100","0","","1","#2022-06-22 16:24:22.028#","0","0","",""
"90","******","1684370186","10.115.101.100","0","","1","#2022-06-22 17:22:48.215#","0","0","",""
"91","mfrazier","-647558646","10.10.103.217","588","#2022-06-07 02:22:00.373#","2","#2022-01-03 02:22:54.758#","0","0","",""
"92","wblanton","59091136","192.168.133.3","231","#2022-09-08 19:22:54.021#","2","#2022-07-28 12:17:43.952#","0","0","",""
"93","wblanton","235566602","10.118.10.14","1","#2022-06-16 15:03:51.994#","2","#2022-06-16 15:03:47.877#","0","0","",""
"94","wblanton","50230794","10.118.254.2","409","#2024-05-22 12:37:01.870#","10","#2024-03-12 19:49:25.927#","0","0","",""
"95","******","1684370186","10.115.101.100","0","","1","#2022-11-02 13:30:20.190#","0","0","",""
"96","******","1684370186","10.115.101.100","0","","1","#2022-06-22 15:37:13.453#","0","0","",""
"97","WBLANTON","1684343306","10.10.101.100","372","#2022-05-20 17:33:21.465#","18","#2022-05-20 17:33:00.870#","0","0","",""
"98","******","-43709942","10.10.101.253","0","","1","#2021-09-22 13:30:58.375#","0","0","",""
"99","******","42379456","192.168.134.2","0","","1","#2023-04-24 18:53:19.506#","0","0","",""
"100","wblanton","1684370186","10.115.101.100","268","#2024-05-28 11:45:54.477#","19","#2024-03-20 17:22:52.857#","0","0","",""
