RTUID,NAME,ENGUNITS,SCALEFACT,STATIONPID,PREMGHI,PREMGSEVHI,EMGHI,EMGSEVHI,PREMGLO,PREMGSEVLO,EMGLO,EMGSEVLO
,A_C,A,1.0,ABB01,0,0,0,0,0,0,0,0
,PF,,1.0,ABB01,0,0,0,0,0,0,0,0
,PF_A,,1.0,ABB01,0,0,0,0,0,0,0,0
,PF_B,,1.0,ABB01,0,0,0,0,0,0,0,0
,PF_C,,1.0,ABB01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_KVAR_B,KVAR,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_PF_B,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_PF_C,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KW,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_PRI,PRI_KW,KW,0.048,CLI02,0,0,0,0,0,0,0,0
,CHK_KVAR_C,KVAR,1.0,NEW02,0,0,0,0,0,0,0,0
,A_N,A,1.0,EAS03,0,0,0,0,0,0,0,0
,A_N,A,1.0,EAS04A,0,0,0,0,0,0,0,0
,KW_COMP_Estimate,KW,1.0,ABB01,0,0,0,0,0,0,0,0
,ABB_LASTHRAVG_KVAR,,1.0,SYS$,0,0,0,0,0,0,0,0
,ABB_LASTHR_PF,,1.0,SYS$,0,0,0,0,0,0,0,0
,CURRHRAVG_KW,KW,1.0,ABB01,0,0,0,0,0,0,0,0
,CURRHRAVG_KVAR,KVAR,1.0,ABB01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KW_COMP,KW,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KW_A,KW,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KW_B,KW,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KW_C,KW,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KVAR_COMP,KVAR,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KVAR_A,KVAR,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KVAR_B,KVAR,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KVAR_C,KVAR,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_V,kV,0.00012,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_V_A,kV,0.00012,CLI01,0,0,0,0,10,3,0,0
CLI01_PRI,PRI_V_B,kV,0.00012,CLI01,0,0,0,0,10,3,0,0
CLI01_PRI,PRI_V_C,kV,0.00012,CLI01,0,0,0,0,10,3,0,0
CLI01_PRI,PRI_A,A,0.4,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_A_A,A,0.4,CLI01,0,0,0,0,5,3,0,0
CLI01_PRI,PRI_A_B,A,0.4,CLI01,0,0,0,0,5,3,0,0
CLI01_PRI,PRI_A_C,A,0.4,CLI01,0,0,0,0,5,3,0,0
CLI01_PRI,PRI_PF,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_PF_A,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_PF_B,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_PF_C,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI01_PRI,PRI_KW,KW,0.048,CLI01,0,0,0,0,0,0,0,0
,KVAR_COMP,KVAR,1.0,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_KVAR_COMP,KVAR,0.048,CLI01,0,0,0,0,0,0,0,0
,A_N,A,1.0,EAS04B,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_FREQUENCY,,0.001,CLI01,0,0,0,0,0,0,0,0
,FREQUENCY,,1.0,CLI01,0,0,0,0,0,0,0,0
,A_N,A,1.0,EAS05,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_A_N,A,0.4,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_KW_COMP,KW,0.048,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_KW_A,KW,0.048,CLI01,0,0,0,0,0,0,0,0
,A_N,A,1.0,EAS06,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_A_N,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_FREQUENCY,,0.01,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KW,KW,18.0,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_A_N,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_FREQUENCY,,0.01,EAS01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_V,V,0.00012,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_V_A,kV,0.00012,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_V_B,kV,0.00012,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_V_C,kV,0.00012,CLI01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KW,KW,0.18,EAS01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_A_A,A,0.4,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_A_B,A,0.4,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_A_C,A,0.4,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_PF,,0.001,CLI01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_PF_A,,0.001,CLI01,0,0,0,0,0,0,0,0
,KVAR_COMP,KVAR,1.0,EAS01,0,0,0,0,0,0,0,0
EAS01_CHK,CHK_KVAR_COMP,KVAR,18.0,EAS01,0,0,0,0,0,0,0,0
CLI01_CHK,CHK_KW,KW,0.048,CLI01,0,0,0,0,0,0,0,0
,A_N,A,1.0,CLI01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KVAR_COMP,KVAR,0.18,EAS01,0,0,0,0,0,0,0,0
,KW,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,KW,KW,1.0,EAS01,0,0,0,0,0,0,0,0
,FREQUENCY,,1.0,EAS01,0,0,0,0,0,0,0,0
,KVAR_COMP,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KVAR_COMP,KVAR,0.048,CLI02,0,0,0,0,0,0,0,0
,KW_COMP,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,KW_A,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,KW_B,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,KW_C,KW,1.0,CLI01,0,0,0,0,0,0,0,0
,KVAR,KVAR,1.0,CLI01,0,0,0,0,0,0,0,0
